 	Mean1	Mean2	Mean3
773	847.086	1090.222	944.614
774	828.914	1081.222	949.250
775	911.686	1152.378	1032.205
776	1077.800	1164	1029.545
777	1061.943	1227.911	1083.523
778	1073.200	1191.378	1020.455
779	1069.086	1201.956	997.114
780	987.400	1205.378	955.273
781	1030.200	1240.911	969.886
782	993.029	1210.222	958.545
783	1015.400	1206.356	952.455
784	1094.886	1218.867	956.136
785	1197.286	1229.267	1008.136
786	1305.229	1332.156	1120.114
787	1536.714	1557.578	1277.341
788	1497.514	1547.556	1231.477
789	1531.714	1586.800	1349.636
790	1632.800	1643.089	1388.909
791	1974.086	1708.911	1390.659
792	1802.914	1626.156	1264.227
793	1604.771	1490.533	1144.545
794	1373.600	1421.489	1046.114
795	1228.943	1385.622	1002.682
796	1130.257	1353.822	943.591
797	1012.343	1305.600	896.818
798	917.629	1227.244	860.500
799	863.829	1164.867	832.614
800	828.914	1130.933	812.205
801	794.829	1071.956	775.205
802	751.143	1026.667	742.273
803	733.200	985.978	781.682
804	711.429	1018.333	778.795
805	737.800	1113.244	817.727
806	845.686	1319.378	861.659
807	924.971	1459.178	985.636
808	1150.143	1906.556	1157.477
809	1219.771	2047.689	1133.023
810	1195.714	1996.200	1125.614
811	1114.086	1899.689	1112.727
812	1194.029	1833.067	1203.159
813	1233.943	1780.978	1166.545
814	1218.771	1727.867	1328.682
815	1307.229	2055.311	1430.591
816	1386.771	2241.956	1538.068
817	1420.371	2401.222	1559.500
818	1504.200	2905.511	1877.636
819	1474.914	2892.289	1741.318
820	1423.229	2889.044	1923.455
821	1453.629	2665.244	2439.614
822	1238.714	2390.111	2241.045
823	1096	2164.511	2039.295
824	1053.886	1968.311	1910.364
825	940.086	1740.822	1760.318
826	872.114	1606.822	1747.545
827	837.771	1496.556	1815.818
828	836.543	1443.111	1816.091
829	815.457	1366.378	1745
830	806.714	1327.044	1724.068
831	829	1308.889	1706.432
832	859	1263.533	1721.477
833	895.029	1326.600	1595.886
834	872.914	1335.600	1491
835	860.886	1296.267	1443.727
836	997.057	1530.378	1811.023
837	973.143	1565.289	1839.750
838	929.429	1610.933	1883.886
839	910.514	1546.822	1809.909
840	935.629	1647.978	1908.795
841	904.200	1660.578	1793.932
842	903.686	1748.333	1861.727
843	897.629	1614.933	1736.909
844	848.371	1486.756	1684.727
845	839.743	1364.844	1681.432
846	822.829	1302.356	1609.273
847	799.229	1256.844	1647.136
848	867.886	1354.244	1828.250
849	820.143	1350.978	1875
850	800.571	1350.267	1857.955
851	893.914	1316.444	2133.932
852	840.400	1217.333	2008.295
853	806.886	1119.778	1773.295
854	747.371	1088.378	1642.477
855	759.686	1053.778	1524.477
856	746.486	1014.556	1377.045
857	739.657	980.844	1334.909
858	747.543	991.133	1222.386
859	747.457	984.267	1149.886
860	746.057	962.600	1071
861	702.629	959.267	994.568
862	707.857	930.911	972.659
863	705.371	968.378	945.659
864	697.057	988.044	915.386
865	741.429	975	911.705
866	814.714	1101.533	983.068
867	977.543	1240.022	1224.500
868	891.571	1157.778	1314
869	872.771	1118.244	1200.614
